,ID,Label
0,50,hate speech
1,51,hate speech
2,52,hate speech
3,53,hate speech
4,54,hate speech
5,55,hate speech
6,56,hate speech
7,57,not hate speech
8,58,not hate speech
9,59,not hate speech
10,60,not hate speech
11,61,not hate speech
12,62,hate speech
13,63,not hate speech
14,64,not hate speech
15,65,hate speech
16,66,hate speech
17,67,hate speech
18,68,hate speech
19,69,not hate speech
20,70,not hate speech
21,71,not hate speech
22,72,not hate speech
23,73,not hate speech
24,74,not hate speech
25,75,hate speech
26,76,hate speech
27,77,hate speech
28,78,not hate speech
29,79,not hate speech
30,80,hate speech
31,81,not hate speech
32,82,hate speech
33,83,not hate speech
34,84,not hate speech
35,85,not hate speech
36,86,hate speech
37,87,not hate speech
38,88,not hate speech
39,89,not hate speech
40,90,not hate speech
41,91,not hate speech
42,92,not hate speech
43,93,hate speech
44,94,not hate speech
45,95,not hate speech
46,96,not hate speech
47,97,not hate speech
48,98,not hate speech
49,99,hate speech
50,100,not hate speech
51,101,not hate speech
52,102,not hate speech
53,103,not hate speech
54,104,hate speech
55,105,hate speech
56,106,hate speech
57,107,hate speech
58,108,not hate speech
59,109,not hate speech
60,110,not hate speech
61,111,not hate speech
62,112,hate speech
63,113,not hate speech
64,114,hate speech
65,115,hate speech
66,116,not hate speech
67,117,hate speech
68,118,not hate speech
69,119,hate speech
70,120,not hate speech
71,121,not hate speech
72,122,hate speech
73,123,not hate speech
74,124,not hate speech
75,125,not hate speech
76,126,not hate speech
77,127,not hate speech
78,128,hate speech
79,129,not hate speech
80,130,hate speech
81,131,hate speech
82,132,not hate speech
83,133,not hate speech
84,134,hate speech
85,135,not hate speech
86,136,not hate speech
87,137,hate speech
88,138,hate speech
89,139,not hate speech
90,140,not hate speech
91,141,hate speech
92,142,not hate speech
93,143,not hate speech
94,144,not hate speech
95,145,hate speech
96,146,not hate speech
97,147,hate speech
98,148,hate speech
99,149,not hate speech
100,150,not hate speech
101,151,hate speech
102,152,not hate speech
103,153,not hate speech
104,154,not hate speech
105,155,not hate speech
106,156,not hate speech
107,157,hate speech
108,158,not hate speech
109,159,hate speech
110,160,not hate speech
111,161,hate speech
112,162,not hate speech
113,163,not hate speech
114,164,hate speech
115,165,not hate speech
116,166,not hate speech
117,167,not hate speech
