,ID,Label
0,50,no complaint
1,51,no complaint
2,52,no complaint
3,53,no complaint
4,54,no complaint
5,55,no complaint
6,56,no complaint
7,57,no complaint
8,58,no complaint
9,59,no complaint
10,60,no complaint
11,61,no complaint
12,62,complaint
13,63,no complaint
14,64,no complaint
15,65,complaint
16,66,no complaint
17,67,no complaint
18,68,no complaint
19,69,no complaint
20,70,no complaint
21,71,no complaint
22,72,complaint
23,73,no complaint
24,74,no complaint
25,75,no complaint
26,76,no complaint
27,77,no complaint
28,78,no complaint
29,79,no complaint
30,80,no complaint
31,81,no complaint
32,82,no complaint
33,83,no complaint
34,84,no complaint
35,85,no complaint
36,86,no complaint
37,87,no complaint
38,88,no complaint
39,89,no complaint
40,90,no complaint
41,91,no complaint
42,92,complaint
43,93,complaint
44,94,complaint
45,95,no complaint
46,96,no complaint
47,97,no complaint
48,98,complaint
49,99,no complaint
50,100,complaint
51,101,no complaint
52,102,complaint
53,103,no complaint
54,104,no complaint
55,105,no complaint
56,106,no complaint
57,107,complaint
58,108,no complaint
59,109,no complaint
60,110,no complaint
61,111,no complaint
62,112,complaint
63,113,complaint
64,114,no complaint
65,115,no complaint
66,116,no complaint
67,117,no complaint
68,118,no complaint
69,119,no complaint
70,120,no complaint
71,121,no complaint
72,122,no complaint
73,123,no complaint
74,124,complaint
75,125,no complaint
76,126,no complaint
77,127,no complaint
78,128,complaint
79,129,no complaint
80,130,complaint
81,131,no complaint
82,132,no complaint
83,133,no complaint
84,134,no complaint
85,135,complaint
86,136,no complaint
87,137,no complaint
88,138,no complaint
89,139,no complaint
90,140,no complaint
91,141,complaint
92,142,no complaint
93,143,no complaint
94,144,no complaint
95,145,no complaint
96,146,no complaint
97,147,no complaint
98,148,no complaint
99,149,no complaint
100,150,no complaint
101,151,no complaint
102,152,no complaint
103,153,no complaint
104,154,no complaint
105,155,no complaint
106,156,no complaint
107,157,no complaint
108,158,complaint
109,159,complaint
110,160,no complaint
111,161,complaint
112,162,no complaint
113,163,no complaint
114,164,complaint
115,165,no complaint
116,166,complaint
117,167,no complaint
118,168,no complaint
119,169,no complaint
120,170,complaint
121,171,complaint
122,172,no complaint
123,173,no complaint
124,174,no complaint
125,175,no complaint
126,176,no complaint
127,177,no complaint
128,178,complaint
129,179,no complaint
130,180,complaint
131,181,no complaint
132,182,no complaint
133,183,complaint
134,184,no complaint
135,185,complaint
136,186,complaint
137,187,no complaint
138,188,no complaint
139,189,no complaint
140,190,complaint
141,191,complaint
142,192,no complaint
143,193,no complaint
144,194,no complaint
145,195,no complaint
146,196,no complaint
147,197,no complaint
148,198,no complaint
149,199,no complaint
150,200,no complaint
151,201,no complaint
152,202,complaint
153,203,no complaint
154,204,no complaint
155,205,complaint
156,206,no complaint
157,207,complaint
158,208,no complaint
159,209,complaint
160,210,no complaint
161,211,no complaint
162,212,no complaint
163,213,no complaint
164,214,no complaint
165,215,no complaint
166,216,complaint
167,217,no complaint
168,218,complaint
169,219,no complaint
170,220,no complaint
171,221,complaint
172,222,no complaint
173,223,no complaint
174,224,no complaint
175,225,no complaint
176,226,no complaint
177,227,complaint
178,228,complaint
179,229,no complaint
180,230,no complaint
181,231,no complaint
182,232,no complaint
183,233,no complaint
184,234,no complaint
185,235,no complaint
186,236,no complaint
187,237,complaint
188,238,no complaint
189,239,no complaint
190,240,complaint
191,241,complaint
192,242,no complaint
193,243,no complaint
194,244,no complaint
195,245,no complaint
196,246,complaint
197,247,no complaint
198,248,no complaint
199,249,no complaint
200,250,no complaint
201,251,no complaint
202,252,complaint
203,253,no complaint
204,254,no complaint
205,255,no complaint
206,256,no complaint
207,257,complaint
208,258,no complaint
209,259,no complaint
210,260,no complaint
211,261,no complaint
212,262,no complaint
213,263,no complaint
214,264,no complaint
215,265,complaint
216,266,no complaint
